1,2,3,4,5,6,USBN,UNBK
85.5,84.97,84.81,85.42,91.31,85.42,90,86
84.25,83.19,83.83,84.13,89.08,84.13,89,90
85.25,87.04,86.58,87.63,91.81,87.63,90,86
86.25,88.83,87.56,90.17,89,90.17,90,90
86.75,90.69,88,86.83,88.58,86.83,92.25,82
92.25,91.92,88.25,88.08,89,88.08,93.75,94
84,87.53,85.19,84.5,92.94,84.5,91.5,82
80.25,81.33,87.44,86.71,91.56,86.71,91.25,92
81.25,83.5,85.79,83.83,89.08,83.83,92.25,82
86.25,90.63,86.69,87.88,92.44,87.88,92,92
82.25,83.38,84.13,85.38,91.56,85.38,91.75,82
87.25,88.75,87.67,89.92,88.25,89.92,94.5,90
85.25,88,88.17,90.58,88.58,90.58,94,84
93.05,93.96,86.44,88.75,88.75,88.75,93.5,88
91.5,92.79,84.04,87.79,88.75,87.79,93,84
92.25,93.75,86.33,93.58,91.81,93.58,94.25,84
90.25,92.5,85.96,88.33,93.56,88.33,91,80
93.25,91.67,84.04,89.04,93.56,89.04,93.75,86
86.25,88.25,87.63,92.79,92.06,92.79,94.75,86
88.25,89.09,86.46,87.85,88.25,87.85,91.5,84
89.75,91.38,84.29,89.92,88.5,89.92,93.5,88
91.25,91.71,96.21,93.71,88.75,93.71,95,84
83,85.25,83.63,83.83,94.44,83.83,92.25,74
83.25,84.97,83.88,84.42,89.5,84.42,93.25,90
88.5,89.17,82.79,84.46,89.5,84.46,90,76
87.5,89.13,86.25,87.42,89.58,87.42,92,80
91,91.54,82.17,86.25,89.5,86.25,94,84
86.75,89.44,87.71,84.33,89.5,84.33,94,78
91.5,94.08,82.21,89.08,92.31,89.08,94.25,90
90.5,90.38,91.97,90.38,93.19,90.38,94.75,90
88.25,88.78,91.08,91.58,92.31,91.58,95.75,94
91.5,93.46,85.42,88.33,92.31,88.33,91.25,86
87.5,87.38,84.83,88.17,92.06,88.17,93.5,80
83.5,84.53,85.02,86.71,88.75,86.71,92,90
92,89.44,90.5,93.54,89.83,93.54,90,86
91.75,93.5,85.68,86.85,91.08,86.85,92.25,82
92.25,92.38,83.63,85.95,93.56,85.95,93,90
86.75,87.13,88,87.85,87.25,87.85,93.75,82
86.25,89.19,85.4,85.25,91.56,85.25,93.5,80
87,87,85.29,86.5,89,86.5,94.25,80
89.25,89.5,83.13,85.71,90.06,85.71,93.25,82
84.25,88.78,85.44,88.75,89.81,88.75,96,78
89,89.33,91.17,88.67,90.06,88.67,94.5,84
86.5,87.5,85.08,91.21,90.56,91.21,94.25,82
83.25,82.88,86.13,88.42,90.06,88.42,92.25,78
95.5,95.5,83.08,91.33,91.11,91.33,93.75,84
87,90.44,88.06,88.19,92.19,88.19,93,80
87,90.88,90.25,91.79,92.11,91.79,90.5,86
92.5,93.75,84.83,89.83,89.81,89.83,93.25,86
82.25,87.63,87.46,90.88,90.06,90.88,92.25,88
86.25,87.44,82,90.5,88.75,90.5,95,86
96.5,95.54,90.04,93.17,90.06,93.17,95.25,98
85.25,92.63,87.88,89.22,89.81,89.22,94.25,80
83.75,87.28,86.98,87.29,90.86,87.29,94,86
92.5,92.79,87.71,90.92,90.56,90.92,91.75,88
91.25,92.58,85.71,85.5,90.31,85.5,91.5,86
92.5,93.63,89,90.71,89.81,90.71,94,82
88,90.94,86.67,86.52,90.75,86.52,93.25,76
84,88.56,87.83,88.04,90.06,88.04,93.75,74
81,83.63,82.96,84.21,89.81,84.21,93.75,78
87.75,89.17,86.5,86.77,90.06,86.77,95.25,90
84.75,88.32,83.38,87.13,89.81,87.13,95.25,88
90.75,92.21,84.46,89.63,91.06,89.63,95.25,86
91,88.69,87.29,91.08,91.56,91.08,96,86
94,95.54,84.92,91.17,91.56,91.17,93.75,92
85.5,86,87.92,87.58,91.56,87.58,95.25,86
87.25,88.13,84.38,90.77,91.06,90.77,95,86
92.25,92.29,86.17,90.5,91.86,90.5,96.5,84
86.25,87.69,85.06,86.92,91.56,86.92,94.25,82
82.75,89.38,86.69,84.06,90.06,84.06,93.75,80
93,93.83,84.46,90.92,93.11,90.92,95.25,88
93.25,92.5,86.58,87.13,92.31,87.13,93.75,88
94.5,95.71,86.08,89.54,89.81,89.54,95,92
